,0
1721,HBK
1722,HBMD
1723,HBNC
1724,HBP
1725,HCAP
1726,HCAPZ
1727,HCCHU
1728,HCCI
1729,HCKT
1730,HCM
1731,HCSG
1732,HDP
1733,HDS
1734,HDSN
1735,HEAR
1736,HEBT
1737,HEES
1738,HELE
1739,HEWG
1740,HFBC
1741,HFBL
1742,HFGIC
1743,HFWA
1744,HGSH
1745,HIBB
1746,HIFS
1747,HIHO
1748,HIIQ
1749,HIMX
1750,HJLI
1751,HJLIW
1752,HLG
1753,HLIT
1754,HLNE
1755,HMHC
1756,HMNF
1757,HMNY
1758,HMST
1759,HMSY
1760,HMTA
1761,HMTV
1762,HNDL
1763,HNNA
1764,HNRG
1765,HOFT
1766,HOLI
1767,HOLX
1768,HOMB
1769,HONE
1770,HOPE
1771,HOVNP
1772,HPJ
1773,HPT
1774,HQCL
1775,HQY
1776,HRTX
1777,HRZN
1778,HSDT
1779,HSGX
1780,HSIC
1781,HSII
1782,HSKA
1783,HSON
1784,HSTM
1785,HTBI
1786,HTBK
1787,HTBX
1788,HTGM
1789,HTHT
1790,HTLD
1791,HTLF
1792,HUBG
1793,HUNT
1794,HUNTU
1795,HUNTW
1796,HURC
1797,HURN
1798,HVBC
1799,HWBK
1800,HWC
1801,HWCC
1802,HWCPL
1803,HWKN
1804,HX
1805,HYAC
1806,HYACU
1807,HYACW
1808,HYGS
1809,HYLS
1810,HYND
1811,HYRE
1812,HYXE
1813,HYZD
1814,HZNP
1815,IAC
1816,IAM
1817,IAMXR
1818,IAMXW
1819,IART
1820,IBB
1821,IBCP
1822,IBKC
1823,IBKCO
1824,IBKCP
1825,IBKR
1826,IBOC
1827,IBTX
1828,IBUY
1829,ICAD
1830,ICBK
1831,ICCC
1832,ICCH
1833,ICFI
1834,ICHR
1835,ICLK
1836,ICLN
1837,ICLR
1838,ICON
1839,ICPT
1840,ICUI
1841,IDCC
1842,IDLB
1843,IDRA
1844,IDSA
1845,IDSY
1846,IDTI
1847,IDXG
1848,IDXX
1849,IEA
1850,IEAWW
1851,IEF
1852,IEI
1853,IEP
1854,IESC
1855,IEUS
1856,IFEU
1857,IFGL
1858,IFMK
1859,IFRX
1860,IFV
1861,IGF
1862,IGLD
1863,IGOV
1864,III
1865,IIIN
1866,IIIV
1867,IIJI
1868,IIN
1869,IIVI
1870,IJT
1871,IKNX
1872,ILG
1873,ILMN
1874,ILPT
1875,IMDZ
1876,IMGN
1877,IMI
1878,IMKTA
1879,IMMP
1880,IMMR
1881,IMMU
1882,IMMY
1883,IMNP
1884,IMOS
1885,IMPV
1886,IMRN
1887,IMRNW
1888,IMTE
1889,IMV
1890,INAP
1891,INBK
1892,INBKL
1893,INCY
1894,INDB
1895,INDU
1896,INDUU
1897,INDUW
1898,INDY
1899,INFI
1900,INFN
1901,INFO
1902,INFR
1903,INGN
1904,INNT
1905,INO
1906,INOD
1907,INOV
1908,INPX
1909,INSE
1910,INSG
1911,INSM
1912,INSY
1913,INTC
1914,INTG
1915,INTL
1916,INTU
1917,INTX
1918,INVA
1919,INVE
1920,INWK
1921,IONS
1922,IOSP
1923,IOTS
1924,IOVA
